index,Cosine Similarity
"('ðu', 'niht')",-0.04500293
"('ðu', 'wearm')",-0.17024067
"('ðu', 'ceald')",-0.14895156
"('ðu', 'full')",-0.19779968
"('ðu', 'niwe')",-0.1940642
"('ðu', 'betra')",-0.09767157
"('ðu', 'dryge')",-0.1708484
"('ðu', 'nama')",0.12588754
"('us', 'ic')",-0.049001176
"('us', 'ðu')",0.050549604
"('us', 'he')",0.14369623
"('us', 'ðæt')",-0.042486127
"('us', 'hwa')",-0.015320031
"('us', 'ne')",0.0864361
"('us', 'eall')",-0.1459636
"('us', 'manig')",-0.122793466
"('us', 'an')",-0.070084214
"('us', 'twegen')",-0.08472777
"('us', 'micel')",0.054905437
"('us', 'lang')",0.04593438
"('us', 'min')",0.079019055
"('us', 'cwen')",-0.07761138
"('us', 'mann')",-0.08434035
"('us', 'fisc')",0.030777507
"('us', 'fugol')",-0.06792378
"('us', 'hund')",-0.04848913
"('us', 'treow')",0.01582098
"('us', 'sæd')",-0.014206501
"('us', 'blæd')",0.025252093
"('us', 'rot')",-0.050513886
"('us', 'hyd')",-0.21256222
"('us', 'flæsc')",0.03796307
"('us', 'blod')",-0.187966
"('us', 'ban')",0.11572899
"('us', 'gelynd')",0.12086451
"('us', 'æg')",-0.21061802
"('us', 'horn')",-0.089204654
"('us', 'steort')",0.030061556
"('us', 'hær')",0.0057516843
"('us', 'heafod')",-0.073141225
"('us', 'eare')",-0.102964595
"('us', 'eage')",-0.20129168
"('us', 'muþ')",-0.10795506
"('us', 'tunge')",0.056864906
"('us', 'clea')",0.037516654
"('us', 'fot')",-0.038189072
"('us', 'cneow')",-0.0062313564
"('us', 'mund')",-0.08248689
"('us', 'cwiþ')",0.061911866
"('us', 'sweora')",0.024917882
"('us', 'bosm')",0.07085118
"('us', 'heorte')",-0.15824477
"('us', 'drincan')",0.07395494
"('us', 'etan')",0.06269922
"('us', 'bitan')",0.0884964
"('us', 'seon')",-0.1290698
"('us', 'gehiran')",0.17080364
"('us', 'cunnan')",0.05935971
"('us', 'swefan')",-0.05732331
"('us', 'dead')",-0.14699951
"('us', 'cwellan')",0.07530914
"('us', 'fleogan')",-0.019992203
"('us', 'findan')",-0.18387878
"('us', 'cuman')",0.09874208
"('us', 'licgan')",-0.14859025
"('us', 'sittan')",0.061097383
"('us', 'standan')",-0.17163667
"('us', 'gesellan')",-0.21472031
"('us', 'sæcgan')",0.027520038
"('us', 'sunne')",-0.039116666
"('us', 'mona')",-0.008482553
"('us', 'steorra')",0.15945777
"('us', 'ea')",0.032664225
"('us', 'regn')",-0.035281852
"('us', 'stan')",-0.0010983124
"('us', 'sand')",-0.034675807
"('us', 'eorþe')",-0.029979628
"('us', 'neowol')",-0.024060529
"('us', 'þrosm')",0.16357975
"('us', 'fyr')",0.16543761
"('us', 'axe')",-0.0030449126
"('us', 'bærnan')",0.11429021
"('us', 'foldweg')",0.005862359
"('us', 'beorg')",-0.08260571
"('us', 'read')",-0.031905256
"('us', 'grene')",0.06384453
"('us', 'geolo')",-0.20896664
"('us', 'hwit')",0.018839315
"('us', 'blæc')",-0.10679576
"('us', 'niht')",0.13480248
"('us', 'wearm')",-0.052112263
"('us', 'ceald')",-0.12811619
"('us', 'full')",-0.02857278
"('us', 'niwe')",-0.28929886
"('us', 'betra')",-0.04706738
"('us', 'dryge')",-0.09641214
"('us', 'nama')",-0.10656941
"('he', 'ic')",0.40926954
"('he', 'ðu')",0.09320973
"('he', 'us')",0.14369623
"('he', 'ðæt')",0.071428865
"('he', 'hwa')",0.18438858
"('he', 'ne')",0.37307447
"('he', 'eall')",-0.02174971
"('he', 'manig')",-0.09428905
"('he', 'an')",-0.04009098
"('he', 'twegen')",-0.09983399
"('he', 'micel')",0.018142581
"('he', 'lang')",-0.01745525
"('he', 'min')",-0.10793835
"('he', 'cwen')",-0.027621757
"('he', 'mann')",0.030092616
"('he', 'fisc')",0.04122297
"('he', 'fugol')",-0.103090376
"('he', 'hund')",0.045467366
"('he', 'treow')",0.18663245
"('he', 'sæd')",-0.16664706
"('he', 'blæd')",0.13446698
"('he', 'rot')",-0.023977563
"('he', 'hyd')",-0.18485221
"('he', 'flæsc')",0.015189353
"('he', 'blod')",-0.042056095
"('he', 'ban')",-0.16086021
"('he', 'gelynd')",-0.18897979
"('he', 'æg')",0.12321271
"('he', 'horn')",-0.07058835
"('he', 'steort')",-0.075382754
"('he', 'hær')",-0.20522097
"('he', 'heafod')",-0.025797825
"('he', 'eare')",-0.13225168
"('he', 'eage')",-0.106273204
"('he', 'muþ')",-0.025289707
"('he', 'tunge')",-0.20226157
"('he', 'clea')",-0.20229147
"('he', 'fot')",0.0066272914
"('he', 'cneow')",0.0072444044
"('he', 'mund')",-0.14552218
"('he', 'cwiþ')",-0.041476816
"('he', 'sweora')",-0.20699139
"('he', 'bosm')",-0.0798289
"('he', 'heorte')",0.020632412
"('he', 'drincan')",0.026341943
"('he', 'etan')",0.19181554
"('he', 'bitan')",0.07945117
"('he', 'seon')",0.012067027
"('he', 'gehiran')",0.026022486
"('he', 'cunnan')",-0.05613561
"('he', 'swefan')",0.06234058
"('he', 'dead')",-0.004461296
"('he', 'cwellan')",0.131779
"('he', 'fleogan')",0.10271236
"('he', 'findan')",0.28406417
"('he', 'cuman')",0.296595
"('he', 'licgan')",0.1046617
"('he', 'sittan')",0.009220948
"('he', 'standan')",0.019696672
"('he', 'gesellan')",-0.1541829
"('he', 'sæcgan')",0.0053096563
"('he', 'sunne')",-0.05070269
"('he', 'mona')",-0.035736375
"('he', 'steorra')",0.085583724
"('he', 'ea')",-0.24108681
"('he', 'regn')",0.0009916499
"('he', 'stan')",0.15203366
"('he', 'sand')",-0.07261173
"('he', 'eorþe')",-0.10116869
"('he', 'neowol')",0.23160785
"('he', 'þrosm')",0.022040535
"('he', 'fyr')",0.06644476
"('he', 'axe')",0.015433416
"('he', 'bærnan')",0.020338587
"('he', 'foldweg')",-0.05781989
"('he', 'beorg')",-0.11910632
"('he', 'read')",0.011195198
"('he', 'grene')",-0.040573437
"('he', 'geolo')",-0.19698548
"('he', 'hwit')",-0.07922688
"('he', 'blæc')",-0.07095148
"('he', 'niht')",-0.045779787
"('he', 'wearm')",-0.07801659
"('he', 'ceald')",-0.1363737
"('he', 'full')",0.017820256
"('he', 'niwe')",-0.06984376
"('he', 'betra')",-0.21520302
"('he', 'dryge')",-0.13384959
"('he', 'nama')",-0.009953231
"('ðæt', 'ic')",-0.056435652
"('ðæt', 'ðu')",0.20403595
"('ðæt', 'us')",-0.042486127
"('ðæt', 'he')",0.071428865
"('ðæt', 'hwa')",0.12665027
"('ðæt', 'ne')",0.0053645615
"('ðæt', 'eall')",0.03026395
"('ðæt', 'manig')",0.010854948
"('ðæt', 'an')",0.07798326
"('ðæt', 'twegen')",0.014810026
"('ðæt', 'micel')",0.12311763
"('ðæt', 'lang')",0.11449139
"('ðæt', 'min')",0.013871923
"('ðæt', 'cwen')",0.19823906
"('ðæt', 'mann')",0.0113468915
"('ðæt', 'fisc')",0.10831494
"('ðæt', 'fugol')",0.13478807
"('ðæt', 'hund')",-0.13112359
