index,Cosine Similarity
"('us', 'seon')",-0.1290698
"('us', 'gehiran')",0.17080364
"('us', 'cunnan')",0.05935971
"('us', 'swefan')",-0.05732331
"('us', 'dead')",-0.14699951
"('us', 'fleogan')",-0.019992203
"('us', 'findan')",-0.18387878
"('us', 'cuman')",0.09874208
"('us', 'licgan')",-0.14859025
"('us', 'sittan')",0.061097383
"('us', 'standan')",-0.17163667
"('us', 'sæcgan')",0.027520038
"('us', 'sunne')",-0.039116666
"('us', 'mona')",-0.008482553
"('us', 'steorra')",0.15945777
"('us', 'ea')",0.032664225
"('us', 'regn')",-0.035281852
"('us', 'stan')",-0.0010983124
"('us', 'eorþe')",-0.029979628
"('us', 'neowol')",-0.024060529
"('us', 'þrosm')",0.16357975
"('us', 'axe')",-0.0030449126
"('us', 'bærnan')",0.11429021
"('us', 'beorg')",-0.08260571
"('us', 'read')",-0.031905256
"('us', 'grene')",0.06384453
"('us', 'geolo')",-0.20896664
"('us', 'hwit')",0.018839315
"('us', 'niht')",0.13480248
"('us', 'wearm')",-0.052112263
"('us', 'ceald')",-0.12811619
"('us', 'full')",-0.02857278
"('us', 'niwe')",-0.28929886
"('us', 'betra')",-0.04706738
"('us', 'dryge')",-0.09641214
"('us', 'nama')",-0.10656941
"('he', 'ic')",0.40926954
"('he', 'ðu')",0.09320973
"('he', 'us')",0.14369623
"('he', 'ðæt')",0.071428865
"('he', 'ne')",0.37307447
"('he', 'manig')",-0.09428905
"('he', 'twegen')",-0.09983399
"('he', 'micel')",0.018142581
"('he', 'lang')",-0.01745525
"('he', 'min')",-0.10793835
"('he', 'cwen')",-0.027621757
"('he', 'mann')",0.030092616
"('he', 'fisc')",0.04122297
"('he', 'hund')",0.045467366
"('he', 'treow')",0.18663245
"('he', 'blæd')",0.13446698
"('he', 'gelynd')",-0.18897979
"('he', 'æg')",0.12321271
"('he', 'horn')",-0.07058835
"('he', 'hær')",-0.20522097
"('he', 'heafod')",-0.025797825
"('he', 'eare')",-0.13225168
"('he', 'eage')",-0.106273204
"('he', 'muþ')",-0.025289707
"('he', 'tunge')",-0.20226157
"('he', 'clea')",-0.20229147
"('he', 'fot')",0.0066272914
"('he', 'cneow')",0.0072444044
"('he', 'mund')",-0.14552218
"('he', 'sweora')",-0.20699139
"('he', 'heorte')",0.020632412
"('he', 'drincan')",0.026341943
"('he', 'etan')",0.19181554
"('he', 'bitan')",0.07945117
"('he', 'seon')",0.012067027
"('he', 'gehiran')",0.026022486
"('he', 'cunnan')",-0.05613561
"('he', 'swefan')",0.06234058
"('he', 'dead')",-0.004461296
"('he', 'fleogan')",0.10271236
"('he', 'findan')",0.28406417
"('he', 'cuman')",0.296595
"('he', 'licgan')",0.1046617
"('he', 'sittan')",0.009220948
"('he', 'standan')",0.019696672
"('he', 'sæcgan')",0.0053096563
"('he', 'sunne')",-0.05070269
"('he', 'mona')",-0.035736375
"('he', 'steorra')",0.085583724
"('he', 'ea')",-0.24108681
"('he', 'regn')",0.0009916499
"('he', 'stan')",0.15203366
"('he', 'eorþe')",-0.10116869
"('he', 'neowol')",0.23160785
"('he', 'þrosm')",0.022040535
"('he', 'axe')",0.015433416
"('he', 'bærnan')",0.020338587
"('he', 'beorg')",-0.11910632
"('he', 'read')",0.011195198
"('he', 'grene')",-0.040573437
"('he', 'geolo')",-0.19698548
"('he', 'hwit')",-0.07922688
"('he', 'niht')",-0.045779787
"('he', 'wearm')",-0.07801659
"('he', 'ceald')",-0.1363737
"('he', 'full')",0.017820256
"('he', 'niwe')",-0.06984376
"('he', 'betra')",-0.21520302
"('he', 'dryge')",-0.13384959
"('he', 'nama')",-0.009953231
"('ðæt', 'ic')",-0.056435652
"('ðæt', 'ðu')",0.20403595
"('ðæt', 'us')",-0.042486127
"('ðæt', 'he')",0.071428865
"('ðæt', 'ne')",0.0053645615
"('ðæt', 'manig')",0.010854948
"('ðæt', 'twegen')",0.014810026
"('ðæt', 'micel')",0.12311763
