index,Cosine Similarity
"('tu', 'mons')",-0.10093847
"('tu', 'rubeus')",-0.13949764
"('tu', 'gramen')",-0.18289092
"('tu', 'flavo')",0.09465305
"('tu', 'albus')",-0.17674887
"('tu', 'ater')",0.0028309068
"('tu', 'nox')",-0.081883706
"('tu', 'calidus')",-0.057468288
"('tu', 'gelu')",0.019271694
"('tu', 'plenus')",0.12618327
"('tu', 'novus')",-0.07701626
"('tu', 'bonus')",0.15793149
"('tu', 'circularis')",-0.0646844
"('tu', 'siccus')",-0.10383184
"('tu', 'nomen')",-0.12552373
"('nos', 'ego')",0.3301968
"('nos', 'tu')",0.2970986
"('nos', 'cis')",0.24030732
"('nos', 'istud')",0.32085183
"('nos', 'qui')",-0.0059460774
"('nos', 'quid')",0.30845392
"('nos', 'non')",0.2409797
"('nos', 'omnis')",-0.02622699
"('nos', 'multi')",0.022327721
"('nos', 'unus')",0.042628985
"('nos', 'duo')",0.07643728
"('nos', 'magnus')",-0.056153715
"('nos', 'longus')",-0.076255314
"('nos', 'minutus')",-0.0059743375
"('nos', 'femina')",-0.10495293
"('nos', 'vir')",0.055252798
"('nos', 'persona')",0.18690225
"('nos', 'piscis')",-0.1462636
"('nos', 'avis')",-0.13627158
"('nos', 'canis')",-0.18532935
"('nos', 'pedis')",-0.059087314
"('nos', 'dryas')",-0.01985884
"('nos', 'semen')",-0.0813597
"('nos', 'folium')",-0.1539224
"('nos', 'radix')",-0.10703944
"('nos', 'cortex')",-0.045960054
"('nos', 'cutis')",-0.028297305
"('nos', 'membrana')",0.032756362
"('nos', 'sanguis')",-0.13707907
"('nos', 'os')",0.048286937
"('nos', 'medulla')",-0.07738051
"('nos', 'ovum')",-0.19508275
"('nos', 'cornu')",-0.057561312
"('nos', 'cauda')",-0.20647278
"('nos', 'pluma')",-0.016628414
"('nos', 'pilus')",-0.32652703
"('nos', 'caput')",-0.15337577
"('nos', 'auris')",-0.1480672
"('nos', 'oculus')",-0.31230503
"('nos', 'nasus')",0.10381858
"('nos', 'gemma')",-0.13397226
"('nos', 'lingua')",0.15403347
"('nos', 'unguis')",-0.18599032
"('nos', 'pes')",-0.14528257
"('nos', 'genu')",-0.004553551
"('nos', 'manus')",0.15684853
"('nos', 'uterus')",-0.12648499
"('nos', 'monile')",-0.031150397
"('nos', 'pectora')",-0.030687192
"('nos', 'cor')",0.10751268
"('nos', 'iecur')",-0.09681015
"('nos', 'bibere')",-0.034447223
"('nos', 'edere')",0.07379735
"('nos', 'mordeo')",0.060941935
"('nos', 'cautio')",0.12334325
"('nos', 'cognoscere')",0.14201674
"('nos', 'somnus')",-0.07754563
"('nos', 'funus')",-0.08192015
"('nos', 'caedo')",-0.08701256
"('nos', 'nare')",0.08027644
"('nos', 'volare')",-0.1268951
"('nos', 'pontis')",0.14421733
"('nos', 'venire')",0.031265415
"('nos', 'lectus')",-0.042427838
"('nos', 'sedere')",0.053214528
"('nos', 'stare')",0.12704095
"('nos', 'dare')",0.033033688
"('nos', 'inquam')",0.077461615
"('nos', 'sol')",0.049975127
"('nos', 'mensis')",0.017086327
"('nos', 'stella')",-0.022963038
"('nos', 'aqua')",-0.06407536
"('nos', 'pluvia')",-0.22028553
"('nos', 'lapis')",-0.13704681
"('nos', 'harena')",-0.18130903
"('nos', 'solum')",0.118603855
"('nos', 'nimbus')",0.029537745
"('nos', 'fumus')",-0.058831662
"('nos', 'ignis')",0.02973289
"('nos', 'ardere')",-0.04363644
"('nos', 'mons')",-0.08066848
"('nos', 'rubeus')",-0.13114859
"('nos', 'gramen')",-0.18978715
"('nos', 'flavo')",-0.2887125
"('nos', 'albus')",-0.18811187
"('nos', 'ater')",-0.1574354
"('nos', 'nox')",-0.010637689
"('nos', 'calidus')",0.04264989
"('nos', 'gelu')",-0.07505061
"('nos', 'plenus')",-0.06284154
"('nos', 'novus')",-0.21012695
"('nos', 'bonus')",0.005428225
"('nos', 'circularis')",-0.0032582246
"('nos', 'siccus')",0.008430511
"('nos', 'nomen')",0.1001309
"('cis', 'ego')",0.024182461
"('cis', 'tu')",0.084834084
"('cis', 'nos')",0.24030732
"('cis', 'istud')",0.07042588
"('cis', 'qui')",-0.15577614
"('cis', 'quid')",0.03903132
"('cis', 'non')",-0.09492271
"('cis', 'omnis')",-0.051359095
"('cis', 'multi')",-0.0604135
