i,-2.1831324,0.6693887,0.49756894,0.09482726,-0.37906513,1.7279035,3.9370353,0.39876786,0.64911115,-1.2127138,0.9360208,1.5374979,0.5834524,-0.8950699,-0.17641433,1.0220096,0.2446899,-0.30466864,-0.008342425,1.1897225,0.058689713,0.24308068,-0.444091,-0.16136406,0.73405933,-1.3636557,-0.14803533,1.6285543,1.58748,-0.32474396,1.6740395,0.62679166,2.3841724,-1.0611564,1.8345321,0.4640557,0.3037168,1.067396,2.2373059,1.8995277,0.44411668,-1.5200815,-2.9469764,-1.3905958,-1.5710459,0.9602532,1.9726009,0.7340396,1.0520991,-0.02121059,0.5528393,0.16446915,1.325557,-0.08101525,-1.7026582,-1.1613406,-0.7600468,0.44288293,1.8341498,-0.009340446,-0.47331738,0.049869735,0.050958395,-0.21246184,-0.44787893,-1.9021322,1.5777754,1.293266,0.07107854,0.8973343,-2.30097,2.06244,-0.05963416,-0.4727924,1.8632908,0.9471987,0.45277366,1.359252,1.8114786,-0.2760066,0.4057227,-1.3048114,1.9554195,-1.6447992,-1.7788273,-1.1417793,0.87529427,-0.56623256,-0.9578336,-0.5065406,0.02339972,0.13793518,0.7841725,1.6160952,-0.13686585,-1.1479222,0.5457731,1.1325048,1.4865007,1.4927431
you,-0.7073984,-0.9351544,1.0662719,0.85878223,0.5295178,1.0531168,1.6102842,-0.5808365,-0.44736266,-1.6164775,-0.1293246,2.088189,-0.7590542,-2.315958,-0.8907555,1.4664785,-0.005716284,0.19356234,1.4420792,1.6966519,-1.6030923,0.9453654,-0.5758162,-3.0290015,2.9552696,1.0501568,0.16195746,-0.004411777,0.9248938,-1.2503768,2.3369558,2.7035544,-4.177774,1.4191345,3.6980412,-0.86320233,-1.9306589,1.1538688,2.2245784,0.21647048,-0.7564021,0.84092975,-1.0766966,-4.1939545,0.18474048,-0.46041307,3.898201,-1.421122,0.4855598,0.024729734,0.5084615,-1.018819,-0.05209605,0.8945351,-0.031531174,-2.543378,0.20358884,1.0827119,4.1720223,0.33135054,1.9647884,2.3219714,-0.2725529,-0.35969672,-1.6831764,-2.523801,-0.71441966,0.4632926,3.192631,0.6822651,1.9908504,2.1292546,-0.7691743,1.4763627,2.5074365,4.3301144,-0.8399846,-0.7326339,0.4633559,1.2586129,1.7665615,-0.8347218,-0.20037906,-0.14136934,-1.0510834,1.0712792,0.73006576,-1.0560156,0.5442522,0.6222281,-1.3394192,1.6533442,1.7618448,3.8846695,0.17468078,1.9309545,-4.0851593,2.482562,0.050925333,1.6228317
we,-0.72281504,0.86773366,2.1965733,-1.0568813,-1.0698578,-0.111196905,-2.0145423,-1.7166523,-0.8343613,0.4982508,1.9674183,-0.029801032,1.2509944,0.10859724,-0.143528,-0.17888086,-0.9899885,0.963783,0.78072196,-1.7847446,1.4307593,-0.32480147,1.1928995,-1.6252671,-1.525822,0.8067935,0.44731864,2.4424615,0.78161955,-0.53766584,2.9641206,1.6410812,3.3056133,-0.4499366,1.4588785,0.772229,1.0645298,2.561506,-1.6629032,3.0765598,-2.488176,0.37430325,0.11137096,-0.36476532,-1.3460202,-1.6148583,1.3715719,-2.244979,-1.247339,-0.13275534,-0.96729356,-0.069820724,-1.9299666,-0.042753894,1.4103569,1.7779635,-1.7440585,0.10623193,-1.4014568,-2.3904555,-0.20719512,0.79631716,-1.4554068,-0.054754335,3.3570092,1.5929826,0.24912183,-4.1011147,1.163026,1.3446304,-1.7450722,-0.48720303,-2.0474102,1.2170423,-0.607235,2.6172945,-1.5623401,-0.77044225,-2.0216246,-1.6823164,4.6644206,-4.43854,-1.1717588,1.1256598,-1.4811443,0.9338787,1.3156868,-0.08052453,-0.5270167,0.21163183,1.3456892,-0.10914866,0.4085991,1.5363413,-1.4654573,0.41269135,0.9477723,3.3936331,0.486058,-1.3213383
this,-0.59304804,-0.45543408,-1.6526252,0.6292101,0.15822911,0.38090718,-0.25465545,-1.102786,-1.3067964,-2.3796415,2.8585598,-0.084607996,0.38467082,0.7092684,-1.6028061,-1.8944511,0.1021291,-0.53828245,0.6118145,-1.6782585,1.6677351,-1.8260736,2.4551094,-2.3243012,-1.3124342,0.46967053,0.21089761,0.033514142,-1.1386143,-0.6903576,2.211487,0.74662524,-0.097909294,-1.3945879,-0.91814345,0.08594147,-1.2538759,-1.6161469,-1.1936383,0.024183115,-0.21292381,-0.15223841,-0.819985,-0.6657292,-0.008665164,-1.0159465,1.0095487,-1.1134144,-1.3995333,-0.13777368,0.30938682,0.8695402,-1.0232264,0.6637904,0.1341099,-2.2296638,-3.2720835,1.2101291,-0.7197016,-0.24290483,-3.5487986,-0.17518795,2.1544669,-0.7120305,0.5212364,0.6445809,-0.37850976,1.8359519,-0.5559663,-0.49276316,1.034898,-0.62577564,-2.0079296,-0.26764646,2.3920367,-2.034879,1.0722667,3.0327394,0.1947972,2.0169637,1.7760658,0.85365415,-0.41625407,-1.8520623,-3.2702417,-1.5510601,0.09088055,-0.3422792,-0.8000687,-1.1704808,-0.6569834,1.8497883,1.9835061,1.2870864,-1.8295527,-1.7537197,2.8987973,-0.5249245,-0.55346054,2.5603175
that,0.055502426,-1.7404045,1.5914217,0.09341613,1.6989303,-0.05718724,0.3358673,-0.32373032,0.71846336,0.59800047,-3.7946405,0.485404,-0.30781552,-0.4512507,2.0238972,2.3639612,-0.53757596,0.15513194,-0.2067257,0.3915752,-3.0453138,-0.997375,3.6102707,-1.6263441,0.8142991,-2.006604,1.7133461,-0.43034038,1.4160833,-0.9125733,1.4147787,0.79495245,0.24950385,0.6363351,1.3180763,-2.8927267,0.5293899,-0.09954572,0.47229573,-0.13439977,-2.1824548,0.54607874,-0.9024299,-1.8237852,2.715702,2.1326568,4.5559106,-0.60575366,-1.1560537,2.8134215,-1.5133128,0.86368775,-2.895134,-1.8395252,-2.3885462,0.39318597,-0.99345154,0.892101,1.6726278,3.634558,0.98141646,1.7446772,-0.5652192,0.7922513,-0.45729017,0.647202,1.4443678,1.6150727,0.1532201,2.2006338,0.11698886,-1.0477167,-0.37779984,0.53994113,-1.5030499,1.3511552,1.0868069,0.12409624,-2.5225317,1.6270247,1.3638247,-0.40489915,-1.8523082,-0.11577853,0.12116154,1.8977586,-0.08361057,-1.2223834,1.1962602,1.0371224,-0.53990227,1.4916525,-0.88988286,3.0945692,-2.1024477,-0.20464711,0.8739483,0.36269078,1.8683492,1.613197
who,0.009389897,-0.4551004,-0.6964569,-2.5587256,0.41686773,0.53235584,0.95206934,-0.70993525,1.6486262,0.8844854,0.1604054,2.1052215,-0.118326284,0.94127434,0.07783258,0.83383256,-0.23840678,0.2349865,-0.3169892,0.1411155,1.2698363,0.3022779,1.5401083,1.1463538,0.38723132,-0.8945518,0.05764566,-0.31383833,0.4588405,-1.7100576,-0.122292936,0.99031353,-0.09984714,-1.0082911,1.32594,-1.8233747,-1.546433,-0.4470514,0.5299371,0.27045333,-1.1217942,2.0447996,0.8165936,-0.5575955,-0.45905948,-0.82263947,0.44175753,-0.6033876,-0.6481646,1.10875,-0.13121052,1.3262564,0.24935721,0.006940921,0.4421145,-1.7693168,0.20756276,-1.0422359,0.00331449,1.3260143,-0.3952174,-1.3745772,2.175459,-0.5196058,-0.51643914,-0.48289058,-0.0563519,-0.9470648,0.5454333,2.6712482,-0.22744302,-0.8168568,-0.8027925,0.117390715,0.24583967,-1.315135,0.30369774,-1.3804208,-1.949922,0.16947035,0.7109139,-0.11745795,0.6011949,-1.4301982,-1.5779285,0.50386566,0.6886995,-1.8032204,-0.86345667,0.58599645,-1.5243254,0.38042057,-0.087332964,-0.6724543,-0.36452293,0.4578772,-0.7373877,-0.16962254,-0.5525801,1.6242094
what,1.4529129,0.011275053,0.009994824,-1.8255388,0.5298533,-2.1986883,0.515479,-0.6960127,0.43055367,-0.90627146,-0.8285382,2.361223,-0.5440611,2.189827,-1.1517863,1.3113465,0.33464053,-1.0102247,-0.38430193,-0.12686054,2.057361,0.50025254,2.374386,0.23531581,0.12875386,0.48120522,0.6509447,-0.83807784,0.6658253,0.26818898,0.8560992,1.8100628,1.0243373,-1.4794167,1.6034368,-0.2388056,0.18109472,0.7159125,-0.040463526,0.79537654,0.34888342,1.3149587,0.70241517,0.027145803,-0.3601037,-1.623374,-0.31864086,-1.9723128,-0.2605256,1.5586451,0.67642087,1.5598845,0.1917573,-1.7338619,-0.9073276,-2.0518785,0.17565091,-0.64279157,1.1598164,-0.6091059,-0.6328121,0.8628282,0.6731375,-2.029814,0.62766385,-1.5058435,0.7803704,-0.4464887,-1.4927827,0.33024994,-1.687571,-0.96297926,0.19104399,-0.289014,0.9893679,-1.0314304,0.04884095,-0.57496333,-1.5454189,0.59382135,3.1455867,-0.7812722,-0.71626645,-0.25742927,-0.099495254,-0.6699929,-0.19292557,-2.3104382,-0.000515421,0.44959736,-1.0343527,0.10165441,0.7086795,1.0394489,-2.7213871,-1.294748,-1.030171,0.37865734,-1.2207606,1.5206805
not,-0.91596943,-0.97367936,0.8907509,1.4292859,0.48946843,0.94695455,0.088645875,-0.8261563,1.5061127,-0.15040474,1.5995865,1.0439442,2.4496374,0.31218553,-0.5156064,0.22604309,1.7379366,2.8803399,-0.6834201,0.6829152,1.9280621,2.2669966,1.8877481,-0.8720498,1.2764847,0.6726384,1.0513908,-0.6820131,1.8734356,0.8919595,1.1247618,0.90408254,1.9794551,1.1174136,1.0749576,0.5212972,1.2356881,1.4996595,-0.19022433,-0.028549671,0.24325828,1.3000523,-1.1853701,-2.146184,-1.5871487,-0.31539345,1.8424053,1.6418701,-0.7707334,0.53303176,0.31148556,-0.20560403,-0.10496367,0.82041186,0.71537995,-0.28251508,-0.32672063,-1.4689106,0.89885813,1.3262659,-1.2512884,-0.30623809,1.1938988,-1.4040394,0.02201891,0.30779734,0.3546513,-0.20862627,0.31329003,-0.56281036,0.018318126,-0.34294832,-0.28723267,0.4781156,-0.99462414,-1.487568,-1.925727,-2.4096713,-0.38080564,-1.0845343,1.1819415,0.36173126,-0.23615463,-0.9384332,-0.026129523,-0.9981561,-1.2203048,-3.2860615,-0.17307043,-0.16907507,-1.001274,2.323293,1.481762,1.3909949,0.35045877,-1.4622393,0.37935722,-0.6066199,1.0263691,1.1743861
all,-1.208229,-0.100390114,0.34081137,-3.026788,-0.57865334,1.5936289,1.1581832,1.794052,0.72972935,1.9015623,-0.35838494,0.57133,-1.4821421,1.0947148,-2.5821688,-3.198272,-0.5461764,0.69034666,1.5657039,-1.2878377,0.8294762,1.3207246,1.949213,2.8595295,0.6089666,0.36812416,0.9374811,-1.6844081,-0.399184,2.253313,-2.4871855,0.7357686,-2.4522312,1.7501961,-0.24075381,-1.0600363,0.7781184,-0.39477888,-0.8883116,1.3221006,-1.7805611,-0.17275308,0.02994428,-0.31252852,-0.2075758,2.045684,-1.1861728,3.2891693,0.0548958,0.90513796,-0.19776003,-0.35956517,1.3432479,-0.4004022,0.15171796,0.3021468,-0.12260429,-1.1256877,0.7437875,0.4820138,-0.5159657,-1.7933673,-2.6105707,-0.66777414,0.8652999,-0.08549926,-0.22123957,1.213534,0.17592506,0.6422365,-1.4136196,2.7729776,-1.9165789,2.292825,-1.5386367,-1.7487116,0.24556796,1.9797901,-0.71097916,-0.95827836,2.4257848,-0.1738279,1.430191,0.49813047,0.22410925,0.02688694,0.5742155,-0.43152177,0.65148914,-1.0389456,-0.5700667,-0.44610837,-1.9116532,0.48485327,-0.93548745,1.8937807,0.80915564,-0.35197708,2.1898596,-0.6984981
many,-0.50231296,-1.25409,0.7527599,0.7302537,-0.10482303,-0.4189575,0.8088581,1.0594658,-0.2882067,-1.987933,1.3968897,-1.9865669,0.96829623,0.13348812,1.5038242,-0.12926151,0.08287269,0.08992765,-0.012016009,0.04133484,-1.0369333,0.1635968,-0.23277552,-0.11845124,-1.0272373,-0.89635617,-0.8496156,-0.8440134,0.71571517,0.45577994,-1.465747,-0.59536165,-0.024706522,-0.77641916,-0.8190605,0.74288064,-0.03551944,0.2969172,-0.76877755,0.63371134,1.1304754,1.2275132,0.39084807,-1.1365553,2.2317092,1.6561846,1.4477564,-0.63764375,-0.4718262,2.018881,-1.084321,0.11349972,0.06883007,1.1609057,-0.0737381,-0.8567745,0.69916767,-1.2616798,1.0168636,0.86636907,-0.5283667,-0.2380917,0.49056673,-0.40811065,2.097962,0.07321914,1.9228176,0.30722502,1.4586056,0.11434928,-0.2861967,2.259427,-0.6294279,0.22152495,-0.76944846,-0.6273699,1.367962,-1.7024798,1.7655758,-0.841497,0.31359234,0.9571433,0.091904484,-0.99496484,-1.8389627,0.77272636,-0.49048078,-1.0395049,0.79348356,-0.74442387,0.29908413,0.3659208,-0.22864191,-0.2854528,0.14360805,0.1010592,-0.8331621,-0.2155015,-1.4212373,0.38411665
